starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 06 22:40:24 2024	1733524824	0	3	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	1	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	1	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	1	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	1	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	1	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	1	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	1	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	1	3	1
Fri Dec 06 22:40:24 2024	1733524824	2	2	4	2
Fri Dec 06 22:40:24 2024	1733524824	2	2	4	2
Fri Dec 06 22:40:24 2024	1733524824	2	4	6	4
Fri Dec 06 22:40:24 2024	1733524824	2	4	6	4
Fri Dec 06 22:40:24 2024	1733524824	2	5	7	5
Fri Dec 06 22:40:24 2024	1733524824	2	5	7	5
Fri Dec 06 22:40:24 2024	1733524824	2	5	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	1	6	7	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	6
Fri Dec 06 22:40:24 2024	1733524824	1	7	8	5
Fri Dec 06 22:40:24 2024	1733524824	1	7	8	5
Fri Dec 06 22:40:24 2024	1733524824	1	7	8	5
Fri Dec 06 22:40:24 2024	1733524824	1	7	8	5
Fri Dec 06 22:40:24 2024	1733524824	2	6	8	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	7	9	7
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	6	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	7	9	6
Fri Dec 06 22:40:24 2024	1733524824	2	7	9	7
Fri Dec 06 22:40:24 2024	1733524824	2	7	9	7
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	9	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	1	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	1	9	10	9
Fri Dec 06 22:40:24 2024	1733524824	1	8	10	8
