starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 06 16:39:56 2024	1733524796	0	5	5	0
Fri Dec 06 16:39:56 2024	1733524796	3	4	8	4
Fri Dec 06 16:39:56 2024	1733524796	4	4	8	4
Fri Dec 06 16:39:56 2024	1733524796	4	4	8	3
Fri Dec 06 16:39:56 2024	1733524796	4	3	8	3
Fri Dec 06 16:39:56 2024	1733524796	5	3	8	3
Fri Dec 06 16:39:56 2024	1733524796	5	3	8	2
Fri Dec 06 16:39:56 2024	1733524796	5	3	8	2
Fri Dec 06 16:39:56 2024	1733524796	5	2	8	2
Fri Dec 06 16:39:56 2024	1733524796	6	2	8	2
Fri Dec 06 16:39:56 2024	1733524796	6	2	8	1
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	5	7	12	6
Fri Dec 06 16:39:56 2024	1733524796	6	7	13	7
Fri Dec 06 16:39:56 2024	1733524796	6	7	13	7
Fri Dec 06 16:39:56 2024	1733524796	6	7	13	7
Fri Dec 06 16:39:56 2024	1733524796	5	12	17	10
Fri Dec 06 16:39:56 2024	1733524796	5	12	17	11
Fri Dec 06 16:39:56 2024	1733524796	5	13	17	11
Fri Dec 06 16:39:56 2024	1733524796	5	12	17	10
Fri Dec 06 16:39:56 2024	1733524796	5	12	18	10
Fri Dec 06 16:39:56 2024	1733524796	5	13	18	11
Fri Dec 06 16:39:56 2024	1733524796	5	13	18	11
Fri Dec 06 16:39:56 2024	1733524796	6	12	18	9
Fri Dec 06 16:39:56 2024	1733524796	5	13	18	11
Fri Dec 06 16:39:56 2024	1733524796	5	13	18	10
Fri Dec 06 16:39:56 2024	1733524796	6	13	18	9
Fri Dec 06 16:39:56 2024	1733524796	5	13	18	10
Fri Dec 06 16:39:56 2024	1733524796	5	13	18	10
Fri Dec 06 16:39:56 2024	1733524796	5	13	18	11
Fri Dec 06 16:39:56 2024	1733524796	5	13	19	10
Fri Dec 06 16:39:56 2024	1733524796	5	14	19	11
Fri Dec 06 16:39:56 2024	1733524796	6	13	19	9
Fri Dec 06 16:39:56 2024	1733524796	0	19	19	18
Fri Dec 06 16:39:56 2024	1733524796	0	19	19	17
Fri Dec 06 16:39:56 2024	1733524796	6	14	19	9
Fri Dec 06 16:39:56 2024	1733524796	5	14	19	9
Fri Dec 06 16:39:56 2024	1733524796	0	20	20	19
Fri Dec 06 16:39:56 2024	1733524796	5	14	20	10
Fri Dec 06 16:39:56 2024	1733524796	6	14	20	9
Fri Dec 06 16:39:56 2024	1733524796	0	21	21	20
Fri Dec 06 16:39:56 2024	1733524796	0	21	21	20
